CANCER_TYPE,N,HLA_A_LOH,HLA_B_LOH,HLA_C_LOH,HLA_ANY_LOH,Mean_N_LOH,Median_TMB,WGD_Rate,HLA_A_Rate,HLA_B_Rate,HLA_C_Rate,HLA_ANY_Rate
Adrenocortical Carcinoma,88,35,31,33,39,1.125,1.75542998379738,0.556818181818182,39.7727272727273,35.2272727272727,37.5,44.3181818181818
Vaginal Cancer,57,16,13,19,21,0.842105263157895,5.26628995139214,0.345454545454545,28.0701754385965,22.8070175438597,33.3333333333333,36.8421052631579
Anal Cancer,143,37,37,37,46,0.776223776223776,5.26628995139214,0.146853146853147,25.8741258741259,25.8741258741259,25.8741258741259,32.1678321678322
Cervical Cancer,351,83,72,66,97,0.62962962962963,4.38857495949345,0.212034383954155,23.6467236467237,20.5128205128205,18.8034188034188,27.6353276353276
Ovarian Cancer,2140,428,386,401,558,0.567757009345795,3.34573112589429,0.507287259050306,20,18.0373831775701,18.7383177570093,26.0747663551402
Pancreatic Cancer,2851,567,445,489,714,0.52648193616275,3.51085996759476,0.213126323218066,19.8877586811645,15.6085584005612,17.1518765345493,25.0438442651701
Esophagogastric Cancer,1834,297,237,258,389,0.431842966194111,4.9,0.423793859649123,16.1941112322792,12.9225736095965,14.0676117775354,21.2104689203926
Uterine Sarcoma,344,55,51,57,68,0.473837209302326,2.23048741726286,0.300291545189504,15.9883720930233,14.8255813953488,16.5697674418605,19.7674418604651
Germ Cell Tumor,725,108,79,95,143,0.388965517241379,1.11524370863143,0.676837725381415,14.8965517241379,10.8965517241379,13.1034482758621,19.7241379310345
Thymic Tumor,80,13,8,8,14,0.3625,0.877714991898691,0.0875,16.25,10,10,17.5
Head and Neck Cancer,657,96,80,82,111,0.392694063926941,4.91894561416971,0.214723926380368,14.6118721461187,12.1765601217656,12.4809741248097,16.8949771689498
Colorectal Cancer,5277,674,594,631,880,0.35986355884025,6.14400494329083,0.362440419447093,12.7724085654728,11.2563956793633,11.9575516391889,16.6761417472049
Renal Cell Carcinoma,1209,151,140,147,198,0.362282878411911,2.95136736850183,0.16110183639399,12.4896608767577,11.5798180314309,12.1588089330025,16.3771712158809
Nerve Sheath Tumor,142,19,20,17,23,0.394366197183099,1.6,0.352112676056338,13.3802816901408,14.0845070422535,11.9718309859155,16.1971830985916
Small Bowel Cancer,161,19,16,19,26,0.335403726708075,7.87031298267154,0.198757763975155,11.8012422360248,9.93788819875776,11.8012422360248,16.1490683229814
Bone Cancer,590,75,67,73,94,0.364406779661017,0.983789122833942,0.310051107325383,12.7118644067797,11.3559322033898,12.3728813559322,15.9322033898305
Non-Small Cell Lung Cancer,7867,889,745,809,1221,0.310537689080971,5.26628995139214,0.365228589826143,11.3003686284479,9.46993771450362,10.2834625651455,15.5205287911529
Bladder Cancer,2526,262,212,239,360,0.282264449722882,8.77714991898691,0.3528,10.3721298495645,8.39271575613618,9.46159936658749,14.2517814726841
Miscellaneous Brain Tumor,58,4,6,6,8,0.275862068965517,0.983789122833942,0.12280701754386,6.89655172413793,10.3448275862069,10.3448275862069,13.7931034482759
Ampullary Cancer,134,17,12,13,18,0.313432835820896,4.38857495949345,0.283582089552239,12.6865671641791,8.95522388059701,9.70149253731343,13.4328358208955
Sellar Tumor,106,9,10,10,14,0.273584905660377,0,0.179245283018868,8.49056603773585,9.43396226415094,9.43396226415094,13.2075471698113
Embryonal Tumor,80,9,7,6,10,0.275,0.877714991898691,0.325,11.25,8.75,7.5,12.5
Soft Tissue Sarcoma,2307,231,202,219,285,0.282618118768964,0.983789122833942,0.277899343544858,10.0130039011704,8.75596012136974,9.49284785435631,12.3537061118336
Small Cell Lung Cancer,466,43,44,44,57,0.281115879828326,7.89943492708822,0.494623655913979,9.2274678111588,9.44206008583691,9.44206008583691,12.2317596566524
Breast Cancer,6807,615,520,523,828,0.243572792713383,3.51085996759476,0.355171904972702,9.03481710004407,7.63919494637873,7.68326722491553,12.1639488761569
Retinoblastoma,93,5,9,9,11,0.247311827956989,0.877714991898691,0.0537634408602151,5.37634408602151,9.67741935483871,9.67741935483871,11.8279569892473
Hepatobiliary Cancer,1431,131,112,112,168,0.248078266946192,3.3,0.223001402524544,9.15443745632425,7.82669461914745,7.82669461914745,11.7400419287212
"Skin Cancer, Non-Melanoma",455,41,27,29,52,0.213186813186813,5.26628995139214,0.177383592017738,9.01098901098901,5.93406593406593,6.37362637362637,11.4285714285714
Melanoma,1831,142,116,126,206,0.209721463681049,7.89943492708822,0.273428886438809,7.75532495903878,6.33533588203168,6.88148552703441,11.2506826870563
CNS Cancer,170,15,14,17,18,0.270588235294118,0.877714991898691,0.119047619047619,8.82352941176471,8.23529411764706,10,10.5882352941176
Appendiceal Cancer,274,20,10,10,26,0.145985401459854,3.51085996759476,0.180147058823529,7.2992700729927,3.64963503649635,3.64963503649635,9.48905109489051
Mesothelioma,408,30,19,21,36,0.17156862745098,1.75542998379738,0.157248157248157,7.35294117647059,4.65686274509804,5.14705882352941,8.82352941176471
Wilms Tumor,68,6,4,4,6,0.205882352941176,0.99647935026506,0.147058823529412,8.82352941176471,5.88235294117647,5.88235294117647,8.82352941176471
Gastrointestinal Neuroendocrine Tumor,210,12,12,11,18,0.166666666666667,1.75542998379738,0.123809523809524,5.71428571428571,5.71428571428571,5.23809523809524,8.57142857142857
Endometrial Cancer,2445,136,111,138,200,0.157464212678937,6.14400494329083,0.202635914332784,5.56237218813906,4.5398773006135,5.64417177914111,8.1799591002045
Thyroid Cancer,867,56,53,54,70,0.18800461361015,1.96757824566788,0.114619883040936,6.45905420991926,6.11303344867359,6.22837370242215,8.07381776239908
Glioma,2322,133,123,132,180,0.167097329888028,3.51085996759476,0.104898136107499,5.72782084409991,5.29715762273902,5.68475452196382,7.75193798449612
Salivary Gland Cancer,411,21,17,17,28,0.1338199513382,2.63314497569607,0.178921568627451,5.10948905109489,4.13625304136253,4.13625304136253,6.81265206812652
Peripheral Nervous System,411,12,17,12,27,0.0997566909975669,0.9,0.218045112781955,2.91970802919708,4.13625304136253,2.91970802919708,6.56934306569343
Prostate Cancer,3324,144,118,109,217,0.111612515042118,2.63314497569607,0.201629942650166,4.33212996389892,3.54993983152828,3.2791817087846,6.52827918170878
Gastrointestinal Stromal Tumor,635,26,21,29,34,0.119685039370079,1.75542998379738,0.1296,4.09448818897638,3.30708661417323,4.56692913385827,5.35433070866142
Sex Cord Stromal Tumor,91,1,1,1,1,0.032967032967033,1.6,0.10989010989011,1.0989010989011,1.0989010989011,1.0989010989011,1.0989010989011
Cancer of Unknown Primary,1581,7,5,7,8,0.0120177103099304,4.38857495949345,0.315654952076677,0.442757748260595,0.316255534471853,0.442757748260595,0.506008855154965
,50,0,0,0,0,0,1.6,0.04,0,0,0,0
